1006,50,0,0
1059,50,0.021,0.01
1113,50,0.0425,0.23
1167,50,0.06,0.53
1220,50,0.066,0.84
1274,50,0.069,1.17
1328,50,0.072,1.53
1382,50,0.069,1.88
1435,50,0.072,2.22
1489,50,0.063,2.55
1543,50,0.069,2.89
1597,50,0.0625,3.26
1650,50,0.051,3.56
1703,50,0.063,3.83
1758,50,0.06,4.15
1811,50,0.066,4.5
1865,50,0.066,4.85
1918,50,0.084,5.24
1973,50,0.066,5.61
2026,50,0.054,5.9
2080,50,0.057,6.2
2134,50,0.06,6.56
2188,50,0.066,6.92
2241,50,0.069,7.29
2295,50,0.063,7.62
2349,50,0.0575,7.97
2403,50,0.066,8.32
2456,50,0.081,8.71
2510,50,0.075,9.11
2564,50,0.045,9.45
2618,50,0.066,9.77
2671,50,0.078,10.12
2725,50,0.063,10.47
2779,50,0.069,10.78
2833,50,0.063,11.11
2886,50,0.069,11.46
2940,50,0.075,11.83